Name,F,Fmin,Fmax,MJD,MJDmin,MJDmax,Coverage,Resolution,Scale,Sensitivity
 XRTCnt,3.6 e17,4.8e16,2.4e18,55638,53371,57904,.084,18,1.6,1.4e-8
 XRTExp,3.6 e17,4.8e16,2.4e18,55638,53371,57904,.084,18,1.6,1.4e-8
 XRTInt,3.6 e17,4.8e16,2.4e18,55638,53371,57904,.084,18,1.6,1.4e-8
 UVOTWHITEcnt,832e12,500e12,1874e12,55638,53371,57904,0.0017,2.5,0.8,10e-6
 UVOTWHITEexp,832e12,500e12,1874e12,55638,53371,57904,0.0017,2.5,0.8,10e-6
 UVOTWHITEint,832e12,500e12,1874e12,55638,53371,57904,0.0017,2.5,0.8,10e-6
 UVOTVcnt,548e12,512e12,590e12,55638,53371,57904,0.0171,2.5,0.8,36e-6
 UVOTVexp,548e12,512e12,590e12,55638,53371,57904,0.0171,2.5,0.8,36e-6
 UVOTVint,548e12,512e12,590e12,55638,53371,57904,0.0171,2.5,0.8,36e-6
 UVOTUcnt,865e12,774e12,975e12,55638,53371,57904,0.0287,2.5,0.8,9.1e-6
 UVOTUexp,865e12,774e12,975e12,55638,53371,57904,0.0287,2.5,0.8,9.1e-6
 UVOTUint,865e12,774=e12,965e12,55638,53371,57904,0.0287,2.5,0.8,9.1e-6
 UVOTUVM2cnt,1334e12,1200e12,1500e12,55638,53371,57904,0.0314,2.5,0.8,1.6e-6
 UVOTUVM2exp,1334e12,1200e12,1500e12,55638,53371,57904,0.0314,2.5,0.8,1.6e-6
 UVOTUVM2int,1334e12,1200=e12,1500e12,55638,53371,57904,0.0314,2.5,0.8,1.6e-6
 UVOTBcnt,865e12,774e12,975e12,55638,53371,57904,0.0112,2.5,0.8,23.e-6
 UVOTBexp,865e12,774e12,975e12,55638,53371,57904,0.0112,2.5,0.8,23.e-6
 UVOTBint,865e12,774e12,975e12,55638,53371,57904,0.0112,2.5,0.8,23.e-6
 UVOTUVW1cnt,1154e12,1017e12,1330e12,55638,53371,57904,0.0277,2.5,0.8,3.0e-6
 UVOTUVW1exp,1154e12,1017e12,1330e12,55638,53371,57904,0.0277,2.5,0.8,3.0e-6
 UVOTUVW1int,1154e12,1017e12,1330e12,55638,53371,57904,0.0277,2.5,0.8,3.0e-6
 UVOTUVW2cnt,1554e12,1328e12,1874e12,55638,53371,57904,0.0260,2.5,0.8,1.3e-6
 UVOTUVW2exp,1554e12,1328e12,1874e12,55638,53371,57904,0.0260,2.5,0.8,1.3e-6
 UVOTUVW2int,1554e12,1328e12,1874e12,55638,53371,57904,0.0260,2.5,0.8,1.3e-6
 ,,,,,,,0.10061999999999999,
 ,,,,,,,0.10061999999999999,
 ,,,,,,,0.10061999999999999,
 ,,,,,,,0.10061999999999999,
 ,,,,,,,0.10061999999999999,
 ,,,,,,,0.20127599999999998,
 ,,,,,,,0.20127599999999998,
 ,,,,,,,0.20127599999999998,
 ,,,,,,,0.20127599999999998,
 ,,,,,,,0.20127599999999998,
 ,,,,,4.527e-5,,,
 ,,,,,4.516e-5,,,
 ,,,,,4.523e-5,,,
 ,,,,,2.891e-5,,,
 ,,,,,4.513e-5,,,
 GLEAM72-103,88e6,72e6,103e6,56670,56513,57836,0.62,150,$scaleAS,0.002
 GLEAM103-134,118e6,103e6,134e6,56670,56513,57836,0.62,150,$scaleAS,0.002
 GLEAM139-170,155e6,139e6,170e6,56670,56513,57836,0.62,150,$scaleAS,0.002
 GLEAM170-231,200e6,170e6,231e6,56670,56513,57836,0.62,150,$scaleAS,0.002
 DRAO 22 MHz,22e6,20e6,24e6,40000,38800,40500,0.73,4000,1000,33
 
